ProductId,CategoryId,BrandId,Name,Slug,Description,BasePrice,Status,IsDeleted,CreatedAt
1,1,,Áo sơ mi Streetwear,ao-so-mi-streetwear-1,Áo sơ mi đỏ phong cách Streetwear dành cho Nam - Áo,286000,Active,0,2026-02-08 10:00:00
2,7,,Kính mát Minimal,kinh-mat-minimal-2,Kính mát xanh phong cách Minimal dành cho Phụ kiện,448000,Active,0,2026-02-08 10:00:00
3,3,,Áo hoodie Minimal,ao-hoodie-minimal-3,Áo hoodie xanh phong cách Minimal dành cho Nam - Áo khoác,1837000,Active,0,2026-02-08 10:00:00
4,1,,Áo sweater Streetwear,ao-sweater-streetwear-4,Áo sweater be phong cách Streetwear dành cho Nam - Áo,343000,Active,0,2026-02-08 10:00:00
5,6,,Quần short nữ Streetwear,quan-short-nu-streetwear-5,Quần short nữ đen phong cách Streetwear dành cho Nữ - Quần,294000,Active,0,2026-02-08 10:00:00
6,1,,Áo sơ mi Vintage,ao-so-mi-vintage-6,Áo sơ mi be phong cách Vintage dành cho Nam - Áo,394000,Active,0,2026-02-08 10:00:00
7,1,,Áo sơ mi Formal,ao-so-mi-formal-7,Áo sơ mi be phong cách Formal dành cho Nam - Áo,560000,Active,0,2026-02-08 10:00:00
8,6,,Quần jean nữ Vintage,quan-jean-nu-vintage-8,Quần jean nữ xám phong cách Vintage dành cho Nữ - Quần,725000,Active,0,2026-02-08 10:00:00
9,8,,Giày lười Sporty,giay-luoi-sporty-9,Giày lười đỏ phong cách Sporty dành cho Giày dép,1067000,Active,0,2026-02-08 10:00:00
10,3,,Áo khoác jean Vintage,ao-khoac-jean-vintage-10,Áo khoác jean xám phong cách Vintage dành cho Nam - Áo khoác,936000,Active,0,2026-02-08 10:00:00
11,6,,Quần baggy Vintage,quan-baggy-vintage-11,Quần baggy đen phong cách Vintage dành cho Nữ - Quần,940000,Active,0,2026-02-08 10:00:00
12,6,,Quần jean nữ Casual,quan-jean-nu-casual-12,Quần jean nữ be phong cách Casual dành cho Nữ - Quần,290000,Active,0,2026-02-08 10:00:00
13,6,,Quần legging Vintage,quan-legging-vintage-13,Quần legging be phong cách Vintage dành cho Nữ - Quần,713000,Active,0,2026-02-08 10:00:00
14,5,,Váy chữ A Sporty,vay-chu-a-sporty-14,Váy chữ A xám phong cách Sporty dành cho Nữ - Váy & Đầm,1305000,Active,0,2026-02-08 10:00:00
15,3,,Áo blazer Minimal,ao-blazer-minimal-15,Áo blazer đỏ phong cách Minimal dành cho Nam - Áo khoác,1175000,Active,0,2026-02-08 10:00:00
16,1,,Áo polo Vintage,ao-polo-vintage-16,Áo polo trắng phong cách Vintage dành cho Nam - Áo,160000,Active,0,2026-02-08 10:00:00
17,5,,Váy chữ A Sporty,vay-chu-a-sporty-17,Váy chữ A đỏ phong cách Sporty dành cho Nữ - Váy & Đầm,351000,Active,0,2026-02-08 10:00:00
18,2,,Quần âu Formal,quan-au-formal-18,Quần âu xám phong cách Formal dành cho Nam - Quần,340000,Active,0,2026-02-08 10:00:00
19,1,,Áo tank top Vintage,ao-tank-top-vintage-19,Áo tank top đen phong cách Vintage dành cho Nam - Áo,429000,Active,0,2026-02-08 10:00:00
20,6,,Quần culottes Vintage,quan-culottes-vintage-20,Quần culottes đen phong cách Vintage dành cho Nữ - Quần,968000,Active,0,2026-02-08 10:00:00
21,6,,Quần jean nữ Sporty,quan-jean-nu-sporty-21,Quần jean nữ xám phong cách Sporty dành cho Nữ - Quần,1192000,Active,0,2026-02-08 10:00:00
22,2,,Quần chino Formal,quan-chino-formal-22,Quần chino xám phong cách Formal dành cho Nam - Quần,490000,Active,0,2026-02-08 10:00:00
23,1,,Áo tank top Vintage,ao-tank-top-vintage-23,Áo tank top be phong cách Vintage dành cho Nam - Áo,306000,Active,0,2026-02-08 10:00:00
24,5,,Váy chữ A Formal,vay-chu-a-formal-24,Váy chữ A trắng phong cách Formal dành cho Nữ - Váy & Đầm,1733000,Active,0,2026-02-08 10:00:00
25,3,,Áo khoác dạ Vintage,ao-khoac-da-vintage-25,Áo khoác dạ đỏ phong cách Vintage dành cho Nam - Áo khoác,527000,Active,0,2026-02-08 10:00:00
26,1,,Áo sơ mi Vintage,ao-so-mi-vintage-26,Áo sơ mi xám phong cách Vintage dành cho Nam - Áo,528000,Active,0,2026-02-08 10:00:00
27,7,,Thắt lưng Casual,that-lung-casual-27,Thắt lưng be phong cách Casual dành cho Phụ kiện,432000,Active,0,2026-02-08 10:00:00
28,3,,Áo hoodie Minimal,ao-hoodie-minimal-28,Áo hoodie đen phong cách Minimal dành cho Nam - Áo khoác,1517000,Active,0,2026-02-08 10:00:00
29,6,,Quần jean nữ Formal,quan-jean-nu-formal-29,Quần jean nữ be phong cách Formal dành cho Nữ - Quần,449000,Active,0,2026-02-08 10:00:00
30,5,,Váy chữ A Streetwear,vay-chu-a-streetwear-30,Váy chữ A be phong cách Streetwear dành cho Nữ - Váy & Đầm,679000,Active,0,2026-02-08 10:00:00
31,4,,Áo blouse Casual,ao-blouse-casual-31,Áo blouse xanh phong cách Casual dành cho Nữ - Áo,728000,Active,0,2026-02-08 10:00:00
32,6,,Quần jean nữ Formal,quan-jean-nu-formal-32,Quần jean nữ be phong cách Formal dành cho Nữ - Quần,750000,Active,0,2026-02-08 10:00:00
33,3,,Áo bomber Vintage,ao-bomber-vintage-33,Áo bomber xám phong cách Vintage dành cho Nam - Áo khoác,1215000,Active,0,2026-02-08 10:00:00
34,8,,Sandal Vintage,sandal-vintage-34,Sandal trắng phong cách Vintage dành cho Giày dép,1326000,Active,0,2026-02-08 10:00:00
35,1,,Áo tank top Minimal,ao-tank-top-minimal-35,Áo tank top đỏ phong cách Minimal dành cho Nam - Áo,325000,Active,0,2026-02-08 10:00:00
36,1,,Áo sơ mi Vintage,ao-so-mi-vintage-36,Áo sơ mi xanh phong cách Vintage dành cho Nam - Áo,492000,Active,0,2026-02-08 10:00:00
37,6,,Quần legging Vintage,quan-legging-vintage-37,Quần legging xanh phong cách Vintage dành cho Nữ - Quần,1030000,Active,0,2026-02-08 10:00:00
38,7,,Thắt lưng Vintage,that-lung-vintage-38,Thắt lưng đỏ phong cách Vintage dành cho Phụ kiện,612000,Active,0,2026-02-08 10:00:00
